Entity,Code,Year,Life expectancy
Afghanistan,AFG,1980,43
Africa,,1980,50
Albania,ALB,1980,70
Algeria,DZA,1980,58
American Samoa,ASM,1980,70
Americas,,1980,68
Andorra,AND,1980,75
Angola,AGO,1980,44
Anguilla,AIA,1980,72
Antigua and Barbuda,ATG,1980,68
Argentina,ARG,1980,69
Armenia,ARM,1980,71
Aruba,ABW,1980,72
Asia,,1980,60
Australia,AUS,1980,74
Austria,AUT,1980,73
Azerbaijan,AZE,1980,64
Bahamas,BHS,1980,67
Bahrain,BHR,1980,70
Bangladesh,BGD,1980,53
Barbados,BRB,1980,72
Belarus,BLR,1980,70
Belgium,BEL,1980,73
Belize,BLZ,1980,70
Benin,BEN,1980,47
Bermuda,BMU,1980,74
Bhutan,BTN,1980,45
Bolivia,BOL,1980,50
Bonaire Sint Eustatius and Saba,BES,1980,73
Bosnia and Herzegovina,BIH,1980,70
Botswana,BWA,1980,59
Brazil,BRA,1980,63
British Virgin Islands,VGB,1980,71
Brunei,BRN,1980,67
Bulgaria,BGR,1980,71
Burkina Faso,BFA,1980,46
Burundi,BDI,1980,47
Cambodia,KHM,1980,28
Cameroon,CMR,1980,52
Canada,CAN,1980,75
Cape Verde,CPV,1980,61
Cayman Islands,CYM,1980,71
Central African Republic,CAF,1980,49
Chad,TCD,1980,45
Channel Islands,OWID_CIS,1980,73
Chile,CHL,1980,69
China,CHN,1980,67
Colombia,COL,1980,67
Comoros,COM,1980,51
Congo,COG,1980,54
Cook Islands,COK,1980,64
Costa Rica,CRI,1980,72
Cote d'Ivoire,CIV,1980,51
Croatia,HRV,1980,70
Cuba,CUB,1980,74
Curacao,CUW,1980,73
Cyprus,CYP,1980,75
Czechia,CZE,1980,71
Democratic Republic of Congo,COD,1980,46
Denmark,DNK,1980,74
Djibouti,DJI,1980,54
Dominica,DMA,1980,71
Dominican Republic,DOM,1980,63
Ecuador,ECU,1980,64
Egypt,EGY,1980,58
El Salvador,SLV,1980,56
Equatorial Guinea,GNQ,1980,44
Eritrea,ERI,1980,47
Estonia,EST,1980,69
Eswatini,SWZ,1980,56
Ethiopia,ETH,1980,44
Europe,,1980,71
Faeroe Islands,FRO,1980,76
Falkland Islands,FLK,1980,74
Fiji,FJI,1980,64
Finland,FIN,1980,74
France,FRA,1980,74
French Guiana,GUF,1980,68
French Polynesia,PYF,1980,65
Gabon,GAB,1980,55
Gambia,GMB,1980,46
Georgia,GEO,1980,70
Germany,DEU,1980,73
Ghana,GHA,1980,52
Gibraltar,GIB,1980,74
Greece,GRC,1980,74
Greenland,GRL,1980,63
Grenada,GRD,1980,68
Guadeloupe,GLP,1980,70
Guam,GUM,1980,69
Guatemala,GTM,1980,57
Guinea,GIN,1980,41
Guinea-Bissau,GNB,1980,44
Guyana,GUY,1980,62
Haiti,HTI,1980,51
Honduras,HND,1980,60
Hong Kong,HKG,1980,75
Hungary,HUN,1980,69
Iceland,ISL,1980,77
India,IND,1980,54
Indonesia,IDN,1980,58
Iran,IRN,1980,54
Iraq,IRQ,1980,60
Ireland,IRL,1980,73
Isle of Man,IMN,1980,74
Israel,ISR,1980,74
Italy,ITA,1980,74
Jamaica,JAM,1980,71
Japan,JPN,1980,76
Jordan,JOR,1980,66
Kazakhstan,KAZ,1980,65
Kenya,KEN,1980,58
Kiribati,KIR,1980,56
Kuwait,KWT,1980,70
Kyrgyzstan,KGZ,1980,63
Laos,LAO,1980,49
Latin America and the Caribbean,,1980,64
Latvia,LVA,1980,69
Lebanon,LBN,1980,68
Lesotho,LSO,1980,57
Liberia,LBR,1980,46
Libya,LBY,1980,64
Liechtenstein,LIE,1980,74
Lithuania,LTU,1980,70
Luxembourg,LUX,1980,72
Macao,MAC,1980,74
Madagascar,MDG,1980,49
Malawi,MWI,1980,44
Malaysia,MYS,1980,68
Maldives,MDV,1980,53
Mali,MLI,1980,40
Malta,MLT,1980,73
Marshall Islands,MHL,1980,59
Martinique,MTQ,1980,71
Mauritania,MRT,1980,55
Mauritius,MUS,1980,67
Mayotte,MYT,1980,68
Mexico,MEX,1980,67
Micronesia (country),FSM,1980,62
Moldova,MDA,1980,65
Monaco,MCO,1980,75
Mongolia,MNG,1980,57
Montenegro,MNE,1980,73
Montserrat,MSR,1980,70
Morocco,MAR,1980,58
Mozambique,MOZ,1980,44
Myanmar,MMR,1980,53
Namibia,NAM,1980,57
Nauru,NRU,1980,55
Nepal,NPL,1980,47
Netherlands,NLD,1980,76
New Caledonia,NCL,1980,67
New Zealand,NZL,1980,73
Nicaragua,NIC,1980,58
Niger,NER,1980,39
Nigeria,NGA,1980,45
Niue,NIU,1980,66
North Korea,PRK,1980,66
North Macedonia,MKD,1980,69
Northern America,,1980,74
Northern Mariana Islands,MNP,1980,68
Norway,NOR,1980,76
Oceania,,1980,69
Oman,OMN,1980,60
Pakistan,PAK,1980,57
Palau,PLW,1980,62
Palestine,PSE,1980,62
Panama,PAN,1980,70
Papua New Guinea,PNG,1980,53
